policy_step,rank_within_step,chunk_id,chunk_start_frame,chunk_end_frame,selected_frame,gate_score,pool_attention_selected
80,1,6,33,36,33,0.0008203153847716749,0.28398391604423523
80,2,7,37,40,40,0.0006227624253369868,0.31119900941848755
80,3,9,45,48,48,0.0002152018714696169,0.27952536940574646
100,1,15,89,92,92,0.023997582495212555,0.2571420669555664
100,2,14,85,88,85,0.023003144189715385,0.30871638655662537
100,3,13,81,84,81,0.0016743044834583998,0.3202968239784241
120,1,10,89,92,92,0.02384062111377716,0.2571420669555664
120,2,9,85,88,85,0.022833192721009254,0.30871638655662537
120,3,11,93,96,96,0.003619363298639655,0.3155524432659149
140,1,5,89,92,92,0.023683946579694748,0.2571420669555664
140,2,4,85,88,85,0.022663911804556847,0.30871638655662537
140,3,6,93,96,96,0.0035972173791378736,0.3155524432659149
160,1,0,89,92,92,0.023527590557932854,0.2571420669555664
160,2,1,93,96,96,0.003575169015675783,0.3155524432659149
160,3,14,145,148,147,3.336336521897465e-05,0.2671031653881073
200,1,4,145,148,147,3.295821443316527e-05,0.2671031653881073
200,2,2,137,140,138,2.804467294481583e-05,0.262839674949646
200,3,1,133,136,136,2.314373523404356e-05,0.269511878490448
240,1,15,229,232,229,4.91700529892114e-06,0.3109583854675293
240,2,14,225,228,228,4.661107595893554e-06,0.2813519239425659
240,3,13,221,224,222,2.2805804746894864e-06,0.26125431060791016
