split,episode_idx,success,steps,positive_step_delta,positive_pose_error_m,closest_positive_pose_error_m,close_fraction,expert_close_fraction,prefix_position_mse,prefix_gripper_sign_accuracy
object_train10,0,0,300,8,0.029933851212263107,0.02497829683125019,0.21666666666666667,0.24358974358974358,0.06893549114465714,0.9658119658119658
object_train10,1,1,180,-15,0.02492600865662098,0.024161674082279205,0.3277777777777778,0.39572192513368987,0.09726238995790482,0.9166666666666666
object_train10,2,1,213,7,0.04497772827744484,0.035375162959098816,0.3145539906103286,0.3333333333333333,0.0747050940990448,0.9611111111111111
object_train10,3,0,300,,,,1.0,0.34054054054054056,0.16141195595264435,0.34054054054054056
object_train10,4,1,173,16,0.05075102299451828,0.040825825184583664,0.34104046242774566,0.27058823529411763,0.10281509906053543,0.888235294117647
object_train10,5,0,300,-19,0.03542536497116089,0.021020373329520226,0.19,0.4393063583815029,0.12965922057628632,0.8901734104046243
object_train10,7,1,228,-2,0.020200226455926895,0.017815249040722847,0.2236842105263158,0.265,0.03273149952292442,0.99
object_train10,8,1,188,11,0.02935243584215641,0.01518594566732645,0.30851063829787234,0.2175925925925926,0.077015720307827,0.9414893617021277
object_train10,9,0,300,3,0.045410457998514175,0.043429404497146606,0.21333333333333335,0.3765432098765432,0.10895299911499023,0.9814814814814815
object_train10,10,0,300,0,0.05229699984192848,0.05229699984192848,0.19,0.32386363636363635,0.03876985237002373,1.0
object_val5,12,0,300,-7,0.06366297602653503,0.059437934309244156,0.17333333333333334,0.34911242603550297,0.05820035934448242,0.9585798816568047
object_val5,27,1,188,14,0.055931173264980316,0.05124961957335472,0.35106382978723405,0.2653061224489796,0.10170560330152512,0.925531914893617
object_val5,34,0,300,-2,0.045211222022771835,0.044463884085416794,0.21,0.3651685393258427,0.03334563970565796,0.9887640449438202
object_val5,36,1,234,-6,0.046722427010536194,0.03764503449201584,0.28205128205128205,0.36,0.04201846569776535,0.97
object_val5,45,1,239,-6,0.03553757816553116,0.03314590081572533,0.24267782426778242,0.32653061224489793,0.033246323466300964,0.9693877551020408
object_test5,6,0,300,11,0.0347360335290432,0.03408181667327881,0.20666666666666667,0.2698412698412698,0.08545814454555511,0.9417989417989417
object_test5,14,0,300,5,0.0317436121404171,0.02525947242975235,0.21333333333333335,0.2645739910313901,0.05454890429973602,0.9775784753363229
object_test5,21,1,178,7,0.03439671918749809,0.008520458824932575,0.38764044943820225,0.34065934065934067,0.029147211462259293,0.9606741573033708
object_test5,39,0,300,-14,0.0562918521463871,0.05123811960220337,0.18333333333333332,0.3317307692307692,0.09871318191289902,0.9326923076923077
object_test5,41,1,243,14,0.035780783742666245,0.035780783742666245,0.2222222222222222,0.23668639053254437,0.09182798862457275,0.9171597633136095
